id,category,parameter,value,unit,status,validationState,productionEligible,source,note
CHAR-ENG-0020,deformation,control_frames_iou_below_090,11,frames,SOURCE_LOCKED,MEASURED,False,Latest report,matches measured evidence: control frames with IoU < 0.90 = 11
CHAR-ENG-0021,crossing,min_leg_gap_control,2,px,SOURCE_LOCKED,MEASURED,False,Latest report,"matches measured evidence: control minimum gap between legs, px = 2"
CHAR-ENG-0022,crossing,min_leg_gap_corrected,2,px,SOURCE_LOCKED,MEASURED,False,Latest report,"matches measured evidence: corrected minimum gap between legs, px = 2"
CHAR-ENG-0023,render,control_render_time,8.1,seconds,SOURCE_LOCKED,MEASURED,False,Latest report,"matches measured evidence: control render wall time, s = 8.1"
CHAR-ENG-0024,render,corrected_render_time,4.26,seconds,SOURCE_LOCKED,REJECTED,False,Latest report,"value traces to a real measurement (corrected clip DURATION 4.26 s) but the parameter name does not describe it: filed as corrected_render_time; the corrected render took 8.2 s wall, 4.26 s is the clip's playing duration. Not renamed, not promoted."
CHAR-ENG-0025,overall_proportions,leg_ratio_03,1.09,ratio,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0026,overall_proportions,arm_ratio_03,1.16,ratio,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0027,overall_proportions,head_ratio_03,0.86,ratio,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0028,overall_proportions,hand_ratio_03,0.93,ratio,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0029,overall_proportions,foot_ratio_03,1.0,ratio,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0030,overall_proportions,neck_ratio_03,1.07,ratio,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0031,overall_proportions,height_ratio_04,1.14,ratio,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0032,overall_proportions,shoulder_width_ratio_04,0.84,ratio,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0033,overall_proportions,hip_width_ratio_04,0.91,ratio,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0034,overall_proportions,torso_ratio_04,0.98,ratio,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0035,overall_proportions,leg_ratio_04,1.05,ratio,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0036,overall_proportions,arm_ratio_04,1.12,ratio,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0037,overall_proportions,head_ratio_04,0.82,ratio,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0038,overall_proportions,hand_ratio_04,0.89,ratio,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0039,overall_proportions,foot_ratio_04,0.96,ratio,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0040,overall_proportions,neck_ratio_04,1.03,ratio,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0041,overall_proportions,height_ratio_05,1.1,ratio,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0042,overall_proportions,shoulder_width_ratio_05,1.17,ratio,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0043,overall_proportions,hip_width_ratio_05,0.87,ratio,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0044,overall_proportions,torso_ratio_05,0.94,ratio,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0045,overall_proportions,leg_ratio_05,1.01,ratio,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0046,overall_proportions,arm_ratio_05,1.08,ratio,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0047,overall_proportions,head_ratio_05,1.15,ratio,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0048,overall_proportions,hand_ratio_05,0.85,ratio,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0049,overall_proportions,foot_ratio_05,0.92,ratio,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0050,overall_proportions,neck_ratio_05,0.99,ratio,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0051,head_cranium,cranial_height_01,34.0,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0052,head_cranium,cranial_width_01,42.5,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0053,head_cranium,cranial_depth_01,51.0,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0054,head_cranium,jaw_width_01,59.5,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0055,head_cranium,temple_width_01,68.0,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0056,head_cranium,brow_width_01,76.5,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0057,head_cranium,cheek_width_01,85.0,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0058,head_cranium,occipital_depth_01,93.5,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0059,head_cranium,ear_height_01,102.0,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0060,head_cranium,ear_width_01,20.0,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0061,head_cranium,cranial_height_02,28.5,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0062,head_cranium,cranial_width_02,37.0,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0063,head_cranium,cranial_depth_02,45.5,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0064,head_cranium,jaw_width_02,54.0,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0065,head_cranium,temple_width_02,62.5,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0066,head_cranium,brow_width_02,71.0,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0067,head_cranium,cheek_width_02,79.5,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0068,head_cranium,occipital_depth_02,88.0,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0069,head_cranium,ear_height_02,96.5,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0070,head_cranium,ear_width_02,105.0,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0071,head_cranium,cranial_height_03,23.0,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0072,head_cranium,cranial_width_03,31.5,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0073,head_cranium,cranial_depth_03,40.0,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0074,head_cranium,jaw_width_03,48.5,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0075,head_cranium,temple_width_03,57.0,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0076,head_cranium,brow_width_03,65.5,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0077,head_cranium,cheek_width_03,74.0,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0078,head_cranium,occipital_depth_03,82.5,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0079,head_cranium,ear_height_03,91.0,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0080,head_cranium,ear_width_03,99.5,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0081,head_cranium,cranial_height_04,108.0,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0082,head_cranium,cranial_width_04,26.0,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0083,head_cranium,cranial_depth_04,34.5,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0084,head_cranium,jaw_width_04,43.0,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0085,head_cranium,temple_width_04,51.5,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0086,head_cranium,brow_width_04,60.0,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0087,head_cranium,cheek_width_04,68.5,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0088,head_cranium,occipital_depth_04,77.0,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0089,head_cranium,ear_height_04,85.5,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0090,head_cranium,ear_width_04,94.0,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0091,head_cranium,cranial_height_05,102.5,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0092,head_cranium,cranial_width_05,20.5,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0093,head_cranium,cranial_depth_05,29.0,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0094,head_cranium,jaw_width_05,37.5,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0095,head_cranium,temple_width_05,46.0,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0096,head_cranium,brow_width_05,54.5,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0097,head_cranium,cheek_width_05,63.0,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0098,head_cranium,occipital_depth_05,71.5,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0099,head_cranium,ear_height_05,80.0,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0100,head_cranium,ear_width_05,88.5,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0101,face,eye_spacing_01,39.5,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0102,face,eye_width_01,48.0,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0103,face,eye_height_01,56.5,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0104,face,nose_length_01,65.0,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0105,face,nose_width_01,73.5,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0106,face,mouth_width_01,82.0,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0107,face,philtrum_length_01,90.5,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0108,face,chin_height_01,99.0,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0109,face,chin_projection_01,107.5,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0110,face,brow_to_eye_01,25.5,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0111,face,eye_spacing_02,34.0,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0112,face,eye_width_02,42.5,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0113,face,eye_height_02,51.0,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0114,face,nose_length_02,59.5,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0115,face,nose_width_02,68.0,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0116,face,mouth_width_02,76.5,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0117,face,philtrum_length_02,85.0,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0118,face,chin_height_02,93.5,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0119,face,chin_projection_02,102.0,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0120,face,brow_to_eye_02,20.0,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0121,face,eye_spacing_03,28.5,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0122,face,eye_width_03,37.0,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0123,face,eye_height_03,45.5,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
CHAR-ENG-0124,face,nose_length_03,54.0,mm,CANDIDATE_TARGET,UNVALIDATED,False,Not measured/supported by latest report; candidate engineering reference only,"CANDIDATE_TARGET: engineering candidate only, not measured by ONIQ and not a production gate"
